"","nsum","nGene"
"963",2258,331
"964",2394,373
"965",2841,652
"966",4902,1233
"967",2477,399
"968",2612,436
"969",2706,596
"970",2447,482
"971",2380,365
"972",2287,312
"973",2273,374
"974",8600,2542
"975",2253,316
"976",3131,803
"977",3045,607
"978",3449,956
"979",2563,672
"980",2590,486
"981",3655,1019
"982",2315,333
"983",2546,483
"984",2399,476
"985",2968,715
"986",2387,482
"987",2231,305
"988",2210,305
"989",2127,333
"990",3086,920
"991",2201,348
"992",2450,502
"993",2349,443
"994",2671,462
"995",2103,347
"996",2839,769
"997",2368,492
"998",2137,380
"999",4425,1133
"1000",3527,1018
"1001",2662,538
"1002",2332,415
"1003",2050,305
"1004",2242,364
"1005",3011,814
"1006",2372,446
"1007",2402,484
"1008",2335,361
"1009",4247,1314
"1010",2344,522
"1011",7476,2346
"1012",2221,391
"1013",3731,963
"1014",2274,426
"1015",2363,411
"1016",3803,973
"1017",2034,331
"1018",3640,1268
"1019",2805,607
"1020",2948,941
"1021",2493,489
"1022",3673,1040
"1023",2354,445
"1024",3723,1155
"1025",2252,415
"1026",2084,362
"1027",7217,1611
"1028",2338,416
"1029",2761,533
"1030",2426,499
"1031",2672,697
"1032",2405,513
"1033",2344,443
"1034",5493,1507
"1035",2418,458
"1036",5585,1795
"1037",9995,2659
"1038",6381,1596
"1039",2258,359
"1040",3047,882
"1041",5113,1590
"1042",2582,605
"1043",6732,1844
"1044",2133,355
"1045",2511,592
"1046",2865,715
"1047",4089,1344
"1048",10666,2759
"1049",2313,515
"1050",2019,396
"1051",2604,666
"1052",2265,464
"1053",3272,854
"1054",2097,356
"1055",4817,1572
"1056",6011,2016
"1057",8462,2108
"1058",3024,970
"1059",7157,1903
"1060",4623,1397
"1061",6141,1662
"1062",2029,390
"1063",2149,365
"1064",3135,924
"1065",2301,497
"1066",1968,397
"1067",2378,485
"1068",2786,711
"1069",2084,385
"1070",8952,2654
"1071",4244,1198
"1072",2820,794
"1073",2285,500
"1074",6943,1980
"1075",2357,598
"1076",4393,1664
"1077",2923,690
"1078",3178,990
"1079",4312,1525
"1080",3026,969
"1081",2486,558
"1082",2080,425
"1083",7148,2339
"1084",2928,852
"1085",2823,684
"1086",3001,855
"1087",1967,319
"1088",1909,326
"1089",1947,317
"1090",3250,977
"1091",2057,389
"1092",2380,547
"1093",3220,944
"1094",5060,1758
"1095",2846,744
"1096",3663,1130
"1097",2186,489
"1098",5629,1965
"1099",2614,779
"1100",2126,383
"1101",2160,454
"1102",2673,732
"1103",7236,2357
"1104",4869,1513
"1105",5618,1677
"1106",2931,728
"1107",2212,462
"1108",1935,336
"1109",2394,620
"1110",2006,475
"1111",2106,460
"1112",3513,948
"1113",3796,1279
"1114",2362,486
"1115",2858,791
"1116",2902,785
"1117",5034,1574
"1118",2365,502
"1119",2012,451
"1120",2759,779
"1121",2204,573
"1122",2056,389
"1123",1841,327
"1124",2197,458
"1125",1923,425
